t,v
4.410000000000035669e+01,1.669999999999999929e+00
4.420000000000035811e+01,1.840000000000000080e+00
4.430000000000035953e+01,1.820000000000000062e+00
4.440000000000036096e+01,1.770000000000000018e+00
4.450000000000036238e+01,1.679999999999999938e+00
4.460000000000036380e+01,1.699999999999999956e+00
4.470000000000036522e+01,1.669999999999999929e+00
4.480000000000036664e+01,1.620000000000000107e+00
4.490000000000036806e+01,1.570000000000000062e+00
4.500000000000036948e+01,1.530000000000000027e+00
4.510000000000037090e+01,1.520000000000000018e+00
4.520000000000037232e+01,1.610000000000000098e+00
4.530000000000037375e+01,1.620000000000000107e+00
4.540000000000037517e+01,1.530000000000000027e+00
4.550000000000037659e+01,1.409999999999999920e+00
4.560000000000037801e+01,1.489999999999999991e+00
4.570000000000037943e+01,1.419999999999999929e+00
4.580000000000038085e+01,1.449999999999999956e+00
4.590000000000038227e+01,1.439999999999999947e+00
4.600000000000038369e+01,1.489999999999999991e+00
4.610000000000038511e+01,1.439999999999999947e+00
4.620000000000038654e+01,1.449999999999999956e+00
4.630000000000038796e+01,1.360000000000000098e+00
4.640000000000038938e+01,1.409999999999999920e+00
4.650000000000039080e+01,1.409999999999999920e+00
4.660000000000039222e+01,1.320000000000000062e+00
4.670000000000039364e+01,1.340000000000000080e+00
4.680000000000039506e+01,1.469999999999999973e+00
4.690000000000039648e+01,1.459999999999999964e+00
4.700000000000039790e+01,1.429999999999999938e+00
4.710000000000039933e+01,1.459999999999999964e+00
4.720000000000040075e+01,1.489999999999999991e+00
4.730000000000040217e+01,1.479999999999999982e+00
4.740000000000040359e+01,1.449999999999999956e+00
4.750000000000040501e+01,1.389999999999999902e+00
4.760000000000040643e+01,1.300000000000000044e+00
4.770000000000040785e+01,1.239999999999999991e+00
4.780000000000040927e+01,1.120000000000000107e+00
4.790000000000041069e+01,1.090000000000000080e+00
4.800000000000041211e+01,1.159999999999999920e+00
4.810000000000041354e+01,1.169999999999999929e+00
4.820000000000041496e+01,1.209999999999999964e+00
4.830000000000041638e+01,1.250000000000000000e+00
4.840000000000041780e+01,1.189999999999999947e+00
4.850000000000041922e+01,1.219999999999999973e+00
4.860000000000042064e+01,1.239999999999999991e+00
4.870000000000042206e+01,1.219999999999999973e+00
4.880000000000042348e+01,1.159999999999999920e+00
4.890000000000042490e+01,1.179999999999999938e+00
4.900000000000042633e+01,1.209999999999999964e+00
4.910000000000042775e+01,1.250000000000000000e+00
4.920000000000042917e+01,1.139999999999999902e+00
4.930000000000043059e+01,1.040000000000000036e+00
4.940000000000043201e+01,1.070000000000000062e+00
4.950000000000043343e+01,1.030000000000000027e+00
4.960000000000043485e+01,1.080000000000000071e+00
4.970000000000043627e+01,1.030000000000000027e+00
4.980000000000043769e+01,1.050000000000000044e+00
4.990000000000043912e+01,1.050000000000000044e+00
5.000000000000044054e+01,1.040000000000000036e+00
5.010000000000044196e+01,1.040000000000000036e+00
5.020000000000044338e+01,1.000000000000000000e+00
5.030000000000044480e+01,9.699999999999999734e-01
5.040000000000044622e+01,8.599999999999999867e-01
5.050000000000044764e+01,7.500000000000000000e-01
